"period","respondent","respondent-name","fueltype","type-name","value","value-units","type"
"2026-09-09T18","US48","United States Lower 48",NA,"Demand","660398","megawatthours","D"
"2026-09-09T17","US48","United States Lower 48",NA,"Demand","631411","megawatthours","D"
"2026-09-09T16","US48","United States Lower 48",NA,"Demand","600369","megawatthours","D"
"2026-09-09T15","US48","United States Lower 48",NA,"Demand","566533","megawatthours","D"
"2026-09-09T14","US48","United States Lower 48",NA,"Demand","539138","megawatthours","D"
"2026-09-09T13","US48","United States Lower 48",NA,"Demand","520485","megawatthours","D"
"2026-09-09T12","US48","United States Lower 48",NA,"Demand","508271","megawatthours","D"
"2026-09-09T11","US48","United States Lower 48",NA,"Demand","493686","megawatthours","D"
"2026-09-09T10","US48","United States Lower 48",NA,"Demand","479700","megawatthours","D"
"2026-09-09T09","US48","United States Lower 48",NA,"Demand","475804","megawatthours","D"
"2026-09-09T08","US48","United States Lower 48",NA,"Demand","483210","megawatthours","D"
"2026-09-09T07","US48","United States Lower 48",NA,"Demand","499653","megawatthours","D"
"2026-09-09T06","US48","United States Lower 48",NA,"Demand","521278","megawatthours","D"
"2026-09-09T05","US48","United States Lower 48",NA,"Demand","549141","megawatthours","D"
"2026-09-09T04","US48","United States Lower 48",NA,"Demand","581058","megawatthours","D"
"2026-09-09T03","US48","United States Lower 48",NA,"Demand","614327","megawatthours","D"
"2026-09-09T02","US48","United States Lower 48",NA,"Demand","648847","megawatthours","D"
"2026-09-09T01","US48","United States Lower 48",NA,"Demand","672218","megawatthours","D"
"2026-09-09T00","US48","United States Lower 48",NA,"Demand","684988","megawatthours","D"
"2026-09-08T23","US48","United States Lower 48",NA,"Demand","694198","megawatthours","D"
"2026-09-08T22","US48","United States Lower 48",NA,"Demand","695111","megawatthours","D"
"2026-09-08T21","US48","United States Lower 48",NA,"Demand","686733","megawatthours","D"
"2026-09-08T20","US48","United States Lower 48",NA,"Demand","673831","megawatthours","D"
"2026-09-08T19","US48","United States Lower 48",NA,"Demand","658122","megawatthours","D"
"2026-09-08T18","US48","United States Lower 48",NA,"Demand","635624","megawatthours","D"
"2026-09-08T17","US48","United States Lower 48",NA,"Demand","607473","megawatthours","D"
"2026-09-08T16","US48","United States Lower 48",NA,"Demand","576073","megawatthours","D"
"2026-09-08T15","US48","United States Lower 48",NA,"Demand","541325","megawatthours","D"
"2026-09-08T14","US48","United States Lower 48",NA,"Demand","513024","megawatthours","D"
"2026-09-08T13","US48","United States Lower 48",NA,"Demand","494201","megawatthours","D"
"2026-09-08T12","US48","United States Lower 48",NA,"Demand","481789","megawatthours","D"
"2026-09-08T11","US48","United States Lower 48",NA,"Demand","466042","megawatthours","D"
"2026-09-08T10","US48","United States Lower 48",NA,"Demand","450105","megawatthours","D"
"2026-09-08T09","US48","United States Lower 48",NA,"Demand","447194","megawatthours","D"
"2026-09-08T08","US48","United States Lower 48",NA,"Demand","453142","megawatthours","D"
"2026-09-08T07","US48","United States Lower 48",NA,"Demand","466623","megawatthours","D"
"2026-09-08T06","US48","United States Lower 48",NA,"Demand","486385","megawatthours","D"
"2026-09-08T05","US48","United States Lower 48",NA,"Demand","510794","megawatthours","D"
"2026-09-08T04","US48","United States Lower 48",NA,"Demand","539744","megawatthours","D"
"2026-09-08T03","US48","United States Lower 48",NA,"Demand","571739","megawatthours","D"
"2026-09-08T02","US48","United States Lower 48",NA,"Demand","603420","megawatthours","D"
"2026-09-08T01","US48","United States Lower 48",NA,"Demand","626617","megawatthours","D"
"2026-09-08T00","US48","United States Lower 48",NA,"Demand","639255","megawatthours","D"
"2026-09-07T23","US48","United States Lower 48",NA,"Demand","648624","megawatthours","D"
"2026-09-07T22","US48","United States Lower 48",NA,"Demand","647922","megawatthours","D"
"2026-09-07T21","US48","United States Lower 48",NA,"Demand","636907","megawatthours","D"
"2026-09-07T20","US48","United States Lower 48",NA,"Demand","622872","megawatthours","D"
"2026-09-07T19","US48","United States Lower 48",NA,"Demand","605021","megawatthours","D"
"2026-09-07T18","US48","United States Lower 48",NA,"Demand","582188","megawatthours","D"
"2026-09-07T17","US48","United States Lower 48",NA,"Demand","553676","megawatthours","D"
"2026-09-07T16","US48","United States Lower 48",NA,"Demand","522078","megawatthours","D"
"2026-09-07T15","US48","United States Lower 48",NA,"Demand","488508","megawatthours","D"
"2026-09-07T14","US48","United States Lower 48",NA,"Demand","463031","megawatthours","D"
"2026-09-07T13","US48","United States Lower 48",NA,"Demand","443246","megawatthours","D"
"2026-09-07T12","US48","United States Lower 48",NA,"Demand","436167","megawatthours","D"
"2026-09-07T11","US48","United States Lower 48",NA,"Demand","435458","megawatthours","D"
"2026-09-07T10","US48","United States Lower 48",NA,"Demand","434432","megawatthours","D"
"2026-09-07T09","US48","United States Lower 48",NA,"Demand","438048","megawatthours","D"
"2026-09-07T08","US48","United States Lower 48",NA,"Demand","446531","megawatthours","D"
"2026-09-07T07","US48","United States Lower 48",NA,"Demand","459901","megawatthours","D"
"2026-09-07T06","US48","United States Lower 48",NA,"Demand","477305","megawatthours","D"
"2026-09-07T05","US48","United States Lower 48",NA,"Demand","500946","megawatthours","D"
"2026-09-07T04","US48","United States Lower 48",NA,"Demand","527671","megawatthours","D"
"2026-09-07T03","US48","United States Lower 48",NA,"Demand","554524","megawatthours","D"
"2026-09-07T02","US48","United States Lower 48",NA,"Demand","578670","megawatthours","D"
"2026-09-07T01","US48","United States Lower 48",NA,"Demand","598755","megawatthours","D"
"2026-09-07T00","US48","United States Lower 48",NA,"Demand","615660","megawatthours","D"
"2026-09-06T23","US48","United States Lower 48",NA,"Demand","631117","megawatthours","D"
"2026-09-06T22","US48","United States Lower 48",NA,"Demand","635343","megawatthours","D"
"2026-09-06T21","US48","United States Lower 48",NA,"Demand","630743","megawatthours","D"
"2026-09-06T20","US48","United States Lower 48",NA,"Demand","622561","megawatthours","D"
"2026-09-06T19","US48","United States Lower 48",NA,"Demand","607397","megawatthours","D"
"2026-09-06T18","US48","United States Lower 48",NA,"Demand","587505","megawatthours","D"
"2026-09-06T17","US48","United States Lower 48",NA,"Demand","562781","megawatthours","D"
"2026-09-06T16","US48","United States Lower 48",NA,"Demand","535308","megawatthours","D"
"2026-09-06T15","US48","United States Lower 48",NA,"Demand","504112","megawatthours","D"
"2026-09-06T14","US48","United States Lower 48",NA,"Demand","475581","megawatthours","D"
"2026-09-06T13","US48","United States Lower 48",NA,"Demand","453120","megawatthours","D"
"2026-09-06T12","US48","United States Lower 48",NA,"Demand","443299","megawatthours","D"
"2026-09-06T11","US48","United States Lower 48",NA,"Demand","442548","megawatthours","D"
"2026-09-06T10","US48","United States Lower 48",NA,"Demand","445563","megawatthours","D"
"2026-09-06T09","US48","United States Lower 48",NA,"Demand","453286","megawatthours","D"
"2026-09-06T08","US48","United States Lower 48",NA,"Demand","463545","megawatthours","D"
"2026-09-06T07","US48","United States Lower 48",NA,"Demand","479322","megawatthours","D"
"2026-09-06T06","US48","United States Lower 48",NA,"Demand","500113","megawatthours","D"
"2026-09-06T05","US48","United States Lower 48",NA,"Demand","524126","megawatthours","D"
"2026-09-06T04","US48","United States Lower 48",NA,"Demand","551904","megawatthours","D"
"2026-09-06T03","US48","United States Lower 48",NA,"Demand","580065","megawatthours","D"
"2026-09-06T02","US48","United States Lower 48",NA,"Demand","609186","megawatthours","D"
"2026-09-06T01","US48","United States Lower 48",NA,"Demand","630262","megawatthours","D"
"2026-09-06T00","US48","United States Lower 48",NA,"Demand","646632","megawatthours","D"
"2026-09-05T23","US48","United States Lower 48",NA,"Demand","660560","megawatthours","D"
"2026-09-05T22","US48","United States Lower 48",NA,"Demand","667506","megawatthours","D"
"2026-09-05T21","US48","United States Lower 48",NA,"Demand","664977","megawatthours","D"
"2026-09-05T20","US48","United States Lower 48",NA,"Demand","657341","megawatthours","D"
"2026-09-05T19","US48","United States Lower 48",NA,"Demand","646029","megawatthours","D"
"2026-09-05T18","US48","United States Lower 48",NA,"Demand","629256","megawatthours","D"
"2026-09-05T17","US48","United States Lower 48",NA,"Demand","605388","megawatthours","D"
"2026-09-05T16","US48","United States Lower 48",NA,"Demand","572875","megawatthours","D"
"2026-09-05T15","US48","United States Lower 48",NA,"Demand","536615","megawatthours","D"
"2026-09-05T14","US48","United States Lower 48",NA,"Demand","504304","megawatthours","D"
"2026-09-05T13","US48","United States Lower 48",NA,"Demand","481556","megawatthours","D"
"2026-09-05T12","US48","United States Lower 48",NA,"Demand","470562","megawatthours","D"
"2026-09-05T11","US48","United States Lower 48",NA,"Demand","468932","megawatthours","D"
"2026-09-05T10","US48","United States Lower 48",NA,"Demand","470700","megawatthours","D"
"2026-09-05T09","US48","United States Lower 48",NA,"Demand","477930","megawatthours","D"
"2026-09-05T08","US48","United States Lower 48",NA,"Demand","490620","megawatthours","D"
"2026-09-05T07","US48","United States Lower 48",NA,"Demand","509064","megawatthours","D"
"2026-09-05T06","US48","United States Lower 48",NA,"Demand","530264","megawatthours","D"
"2026-09-05T05","US48","United States Lower 48",NA,"Demand","557412","megawatthours","D"
"2026-09-05T04","US48","United States Lower 48",NA,"Demand","589692","megawatthours","D"
"2026-09-05T03","US48","United States Lower 48",NA,"Demand","620807","megawatthours","D"
"2026-09-05T02","US48","United States Lower 48",NA,"Demand","651150","megawatthours","D"
"2026-09-05T01","US48","United States Lower 48",NA,"Demand","676182","megawatthours","D"
"2026-09-05T00","US48","United States Lower 48",NA,"Demand","697061","megawatthours","D"
"2026-09-04T23","US48","United States Lower 48",NA,"Demand","714501","megawatthours","D"
"2026-09-04T22","US48","United States Lower 48",NA,"Demand","720300","megawatthours","D"
"2026-09-04T21","US48","United States Lower 48",NA,"Demand","718615","megawatthours","D"
"2026-09-04T20","US48","United States Lower 48",NA,"Demand","710451","megawatthours","D"
"2026-09-04T19","US48","United States Lower 48",NA,"Demand","697950","megawatthours","D"
"2026-09-04T18","US48","United States Lower 48",NA,"Demand","679706","megawatthours","D"
"2026-09-04T17","US48","United States Lower 48",NA,"Demand","657606","megawatthours","D"
"2026-09-04T16","US48","United States Lower 48",NA,"Demand","628543","megawatthours","D"
"2026-09-04T15","US48","United States Lower 48",NA,"Demand","594183","megawatthours","D"
"2026-09-04T14","US48","United States Lower 48",NA,"Demand","563180","megawatthours","D"
"2026-09-04T13","US48","United States Lower 48",NA,"Demand","539051","megawatthours","D"
"2026-09-04T12","US48","United States Lower 48",NA,"Demand","522413","megawatthours","D"
"2026-09-04T11","US48","United States Lower 48",NA,"Demand","509118","megawatthours","D"
"2026-09-04T10","US48","United States Lower 48",NA,"Demand","497810","megawatthours","D"
"2026-09-04T09","US48","United States Lower 48",NA,"Demand","496833","megawatthours","D"
"2026-09-04T08","US48","United States Lower 48",NA,"Demand","505311","megawatthours","D"
"2026-09-04T07","US48","United States Lower 48",NA,"Demand","522789","megawatthours","D"
"2026-09-04T06","US48","United States Lower 48",NA,"Demand","546642","megawatthours","D"
"2026-09-04T05","US48","United States Lower 48",NA,"Demand","573845","megawatthours","D"
"2026-09-04T04","US48","United States Lower 48",NA,"Demand","605815","megawatthours","D"
"2026-09-04T03","US48","United States Lower 48",NA,"Demand","640015","megawatthours","D"
"2026-09-04T02","US48","United States Lower 48",NA,"Demand","671784","megawatthours","D"
"2026-09-04T01","US48","United States Lower 48",NA,"Demand","695982","megawatthours","D"
"2026-09-04T00","US48","United States Lower 48",NA,"Demand","715951","megawatthours","D"
"2026-09-03T23","US48","United States Lower 48",NA,"Demand","727004","megawatthours","D"
"2026-09-03T22","US48","United States Lower 48",NA,"Demand","731432","megawatthours","D"
"2026-09-03T21","US48","United States Lower 48",NA,"Demand","726424","megawatthours","D"
"2026-09-03T20","US48","United States Lower 48",NA,"Demand","716076","megawatthours","D"
"2026-09-03T19","US48","United States Lower 48",NA,"Demand","703638","megawatthours","D"
"2026-09-03T18","US48","United States Lower 48",NA,"Demand","684251","megawatthours","D"
"2026-09-03T17","US48","United States Lower 48",NA,"Demand","658379","megawatthours","D"
"2026-09-03T16","US48","United States Lower 48",NA,"Demand","630006","megawatthours","D"
"2026-09-03T15","US48","United States Lower 48",NA,"Demand","597518","megawatthours","D"
"2026-09-03T14","US48","United States Lower 48",NA,"Demand","568409","megawatthours","D"
"2026-09-03T13","US48","United States Lower 48",NA,"Demand","544001","megawatthours","D"
"2026-09-03T12","US48","United States Lower 48",NA,"Demand","527796","megawatthours","D"
"2026-09-03T11","US48","United States Lower 48",NA,"Demand","513302","megawatthours","D"
