"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-06","CT","Connecticut","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","CT","Connecticut","RES","residential","1612192","24.32","280.91722","1155.13507","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","CT","Connecticut","TRA","transportation","3","15.16","1.51154","9.96847","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DC","District of Columbia","ALL","all sectors","354437","23.12","208.9538","903.59258","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DC","District of Columbia","COM","commercial","27694","23.38","153.34507","655.98138","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DC","District of Columbia","IND","industrial","1","16.21","3.40899","21.02829","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DC","District of Columbia","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DC","District of Columbia","RES","residential","326739","24.39","47.36937","194.18985","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DC","District of Columbia","TRA","transportation","3","14.91","4.83037","32.39306","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DE","Delaware","ALL","all sectors","545303","16.13","159.5454","988.87349","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DE","Delaware","COM","commercial","61585","14.4","55.21672","383.46942","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DE","Delaware","IND","industrial","1140","12.24","21.60079","176.45989","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DE","Delaware","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DE","Delaware","RES","residential","482578","19.29","82.72789","428.94418","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","DE","Delaware","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ENC","East North Central","ALL","all sectors","23680154","14.67","7299.28764","49761.19836","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ENC","East North Central","COM","commercial","2594695","14.57","2513.07559","17251.44423","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ENC","East North Central","IND","industrial","53783","9.76","1603.04201","16424.43992","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
