"cause","communitydescriptor","metersaffected","reportedstarttime","statuskind","utilitydisclaimer","incident","customersrestored","estimatedrestorationtime","causekind","incident_cause","incident_location","incident_location_kind","name","utility_id","county","state","geom.type","geom.geometry.coordinates","geom.geometry.type","geo_point_2d.lon","geo_point_2d.lat","centroid.lon","centroid.lat"
,"37143",553,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}",,,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}","electricalNetwork","ALBEMARLE ELECTRIC MEMBER CORP,240","240","Perquimans","North Carolina","Feature","[[[[-76.5871,36.2489],[-76.5726,36.2581],[-76.5676,36.2774],[-76.5687,36.3093],[-76.5596,36.3511],[-76.5569,36.3552],[-76.4537,36.3781],[-76.4476,36.3637],[-76.3918,36.2873],[-76.3861,36.2831],[-76.3749,36.2587],[-76.3377,36.2407],[-76.3305,36.244],[-76.3033,36.2217],[-76.2864,36.2167],[-76.2883,36.2138],[-76.2733,36.1891],[-76.2741,36.1889],[-76.277,36.185],[-76.2636,36.1718],[-76.2474,36.1618],[-76.2285,36.1306],[-76.1917,36.1072],[-76.2166,36.0954],[-76.2387,36.0986],[-76.265,36.1049],[-76.3299,36.1334],[-76.3736,36.1382],[-76.3935,36.1633],[-76.3941,36.1636],[-76.4478,36.1925],[-76.4544,36.1899],[-76.4547,36.1888],[-76.4561,36.1836],[-76.3759,36.1204],[-76.3464,36.121],[-76.335,36.1109],[-76.2987,36.1012],[-76.304,36.0928],[-76.3235,36.0849],[-76.3319,36.0838],[-76.3372,36.0865],[-76.3551,36.0865],[-76.4109,36.078],[-76.4119,36.0753],[-76.4456,36.0759],[-76.4788,36.0936],[-76.4912,36.0849],[-76.5175,36.0974],[-76.5442,36.0964],[-76.5708,36.1079],[-76.5731,36.1118],[-76.5901,36.2389],[-76.5871,36.2489]]]]","MultiPolygon",-76.4398245484823,36.2049769828066,-76.407619989,36.177222849
,"40087",1,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}",,,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}","electricalNetwork","RURAL ELECTRIC COOP, INC,16382","16382","McClain","Oklahoma","Feature","[[[[-97.6714,35.3375],[-97.6525,35.3334],[-97.6178,35.3052],[-97.599,35.3034],[-97.579,35.3018],[-97.5593,35.2907],[-97.5548,35.262],[-97.5665,35.2474],[-97.5548,35.2243],[-97.5345,35.2129],[-97.53,35.2127],[-97.5128,35.2014],[-97.4895,35.1884],[-97.4578,35.1703],[-97.4511,35.1626],[-97.4438,35.1606],[-97.4383,35.147],[-97.4071,35.1381],[-97.4021,35.0864],[-97.3887,35.0821],[-97.3803,35.0833],[-97.3641,35.0846],[-97.3534,35.0753],[-97.3499,35.057],[-97.3576,35.0322],[-97.3551,35.0287],[-97.3419,34.9903],[-97.3415,34.964],[-97.3296,34.957],[-97.3112,34.9533],[-97.2925,34.9628],[-97.2826,34.9612],[-97.2616,34.9454],[-97.2327,34.9419],[-97.2304,34.9319],[-97.2179,34.9443],[-97.1962,34.9282],[-97.1423,34.9282],[-97.1329,34.9346],[-97.0797,34.9289],[-97.0718,34.9199],[-97.0525,34.9213],[-97.0159,34.9073],[-96.9959,34.9149],[-96.9676,34.9345],[-96.957,34.951],[-96.9306,34.9644],[-96.9309,34.8626],[-96.9324,34.8545],[-97.0557,34.8549],[-97.2655,34.8552],[-97.3359,34.8553],[-97.424,34.8553],[-97.564,34.8553],[-97.6681,34.8552],[-97.6707,34.8578],[-97.6706,34.9715],[-97.6705,35.0442],[-97.6705,35.1269],[-97.6705,35.1313],[-97.6709,35.2038],[-97.6709,35.2183],[-97.6709,35.2413],[-97.6709,35.2474],[-97.6708,35.291],[-97.6708,35.3324],[-97.6714,35.3359],[-97.6714,35.3375]]]]","MultiPolygon",-97.4447724910511,35.0093319713622,-97.444289058,35.009334518
,"22033",4,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}",,,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}","electricalNetwork","DIXIE ELECTRIC MEMBERSHIP CORP,5202","5202","East Baton Rouge","Louisiana","Feature","[[[[-91.3153,30.5943],[-91.2928,30.6315],[-91.2977,30.6495],[-91.2894,30.678],[-91.2706,30.6808],[-91.2547,30.7049],[-91.2139,30.7065],[-91.145,30.7089],[-91.079,30.7112],[-91.0534,30.7122],[-90.8488,30.7195],[-90.8442,30.708],[-90.8709,30.6933],[-90.9107,30.6494],[-90.9406,30.6205],[-90.9398,30.609],[-90.9582,30.5986],[-90.9805,30.5891],[-90.9805,30.5848],[-90.9851,30.5856],[-90.9879,30.5726],[-90.9724,30.5648],[-90.9809,30.5356],[-90.9679,30.5044],[-90.9759,30.4983],[-90.97,30.4956],[-90.9731,30.4918],[-90.9748,30.4818],[-90.9763,30.4675],[-90.9899,30.4649],[-90.9811,30.4517],[-90.9857,30.4476],[-90.9724,30.4403],[-90.9812,30.4223],[-90.9658,30.4147],[-90.9579,30.4061],[-90.9694,30.4051],[-90.9689,30.3933],[-90.9492,30.3944],[-90.937,30.3639],[-90.9071,30.3612],[-90.9081,30.356],[-90.8917,30.3452],[-90.9108,30.3395],[-90.9239,30.3441],[-90.9394,30.3403],[-90.9589,30.3451],[-90.9741,30.3469],[-90.9832,30.3439],[-90.9929,30.3427],[-90.9931,30.3427],[-91.0142,30.3348],[-91.0138,30.3302],[-91.0141,30.33],[-91.0172,30.3264],[-91.021,30.3215],[-91.0286,30.3158],[-91.0988,30.3195],[-91.1155,30.3127],[-91.1423,30.3199],[-91.1421,30.3233],[-91.1515,30.3378],[-91.1559,30.3397],[-91.1744,30.3442],[-91.2358,30.3445],[-91.2415,30.3576],[-91.2339,30.3753],[-91.2128,30.3971],[-91.2057,30.408],[-91.1998,30.4191],[-91.1991,30.4223],[-91.1963,30.4347],[-91.1959,30.4394],[-91.1959,30.4395],[-91.196,30.4469],[-91.1961,30.4527],[-91.1962,30.4578],[-91.1965,30.4639],[-91.1965,30.4694],[-91.2008,30.5177],[-91.2093,30.523],[-91.2627,30.5052],[-91.2744,30.5046],[-91.2847,30.5116],[-91.2461,30.5359],[-91.2444,30.5559],[-91.2671,30.5725],[-91.3059,30.573],[-91.3144,30.5788],[-91.3153,30.5943]]]]","MultiPolygon",-91.0957544167346,30.5381490931739,-91.095648613,30.538275199
,"47171",2,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}",,,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}","electricalNetwork","TOWN OF ERWIN - (TN),5961","5961","Unicoi","Tennessee","Feature","[[[[-82.6144,36.0035],[-82.6139,36.0047],[-82.6119,36.0062],[-82.6043,36.0182],[-82.6001,36.0218],[-82.5955,36.026],[-82.5949,36.0296],[-82.5962,36.0319],[-82.5988,36.0342],[-82.6007,36.0374],[-82.6029,36.0398],[-82.5772,36.0784],[-82.5951,36.0962],[-82.5279,36.1487],[-82.4876,36.1557],[-82.4415,36.1548],[-82.4207,36.1632],[-82.4167,36.1792],[-82.3916,36.1992],[-82.3706,36.2099],[-82.3558,36.2428],[-82.3405,36.2528],[-82.3354,36.2531],[-82.3196,36.2603],[-82.2847,36.2517],[-82.2699,36.2393],[-82.2564,36.2332],[-82.255,36.2248],[-82.268,36.2101],[-82.2475,36.2068],[-82.229,36.1905],[-82.2221,36.1569],[-82.2232,36.1548],[-82.2249,36.15],[-82.2283,36.1466],[-82.2348,36.1417],[-82.2355,36.1407],[-82.2364,36.1399],[-82.2377,36.1392],[-82.2416,36.1371],[-82.2434,36.1343],[-82.2445,36.1328],[-82.2475,36.1309],[-82.2519,36.1322],[-82.2533,36.1337],[-82.2563,36.1339],[-82.2604,36.1337],[-82.2634,36.1301],[-82.2657,36.1276],[-82.2687,36.127],[-82.271,36.1276],[-82.2741,36.1294],[-82.2787,36.1285],[-82.2804,36.1288],[-82.2885,36.1354],[-82.2895,36.1357],[-82.2977,36.1335],[-82.3029,36.1313],[-82.3073,36.1285],[-82.3087,36.1265],[-82.3182,36.1209],[-82.3214,36.1196],[-82.3252,36.1194],[-82.3292,36.1174],[-82.3323,36.1169],[-82.3368,36.1149],[-82.3469,36.1152],[-82.3484,36.1159],[-82.35,36.1171],[-82.3552,36.1156],[-82.3604,36.1116],[-82.3609,36.1106],[-82.361,36.1106],[-82.3666,36.1076],[-82.3714,36.1064],[-82.3756,36.1056],[-82.3788,36.1028],[-82.3805,36.0993],[-82.39,36.0969],[-82.4045,36.0876],[-82.4095,36.0834],[-82.4167,36.0728],[-82.4607,36.0078],[-82.4646,36.0065],[-82.4742,36.0001],[-82.4823,35.9978],[-82.4835,35.9963],[-82.4837,35.9939],[-82.4847,35.9928],[-82.4874,35.9916],[-82.4875,35.9916],[-82.5002,35.9826],[-82.5054,35.9777],[-82.5055,35.9777],[-82.5071,35.9775],[-82.5126,35.9757],[-82.5164,35.976],[-82.5207,35.9746],[-82.5227,35.9734],[-82.5313,35.9722],[-82.5348,35.9699],[-82.5393,35.9691],[-82.5425,35.968],[-82.5497,35.9643],[-82.5532,35.9606],[-82.5579,35.9539],[-82.5675,35.9556],[-82.5752,35.9584],[-82.5767,35.9593],[-82.5777,35.9642],[-82.581,35.9656],[-82.592,35.9664],[-82.5949,35.9653],[-82.6004,35.9646],[-82.6078,35.966],[-82.6109,35.9674],[-82.6116,35.9714],[-82.6109,35.9744],[-82.6067,35.9844],[-82.6042,35.9873],[-82.6069,35.9922],[-82.6126,35.9935],[-82.613,35.994],[-82.6151,36.0003],[-82.6144,36.0035]]]]","MultiPolygon",-82.4322074707151,36.1107828188124,-82.43234283,36.110730634
,"37065",2,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}",,,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}","electricalNetwork","EDGECOMBE-MARTIN COUNTY E M C,5656","5656","Edgecombe","North Carolina","Feature","[[[[-77.8186,35.8864],[-77.7988,35.9339],[-77.7979,35.9362],[-77.7945,35.9442],[-77.7897,35.9559],[-77.7778,35.9846],[-77.7741,35.9987],[-77.7677,36.0145],[-77.733,36.0748],[-77.7077,36.1137],[-77.698,36.1531],[-77.6785,36.1544],[-77.6703,36.1373],[-77.6447,36.1382],[-77.6316,36.1267],[-77.6265,36.1114],[-77.5334,36.0911],[-77.5353,36.0776],[-77.5281,36.0734],[-77.5401,36.0608],[-77.5176,36.0368],[-77.4749,36.0378],[-77.4393,36.0212],[-77.4211,36.0036],[-77.4026,36.005],[-77.4092,35.9987],[-77.3424,35.9053],[-77.3499,35.8549],[-77.3504,35.8192],[-77.3902,35.8331],[-77.4096,35.8264],[-77.4255,35.8054],[-77.4461,35.8087],[-77.4723,35.8011],[-77.5167,35.7611],[-77.5455,35.7461],[-77.6651,35.6749],[-77.6748,35.6891],[-77.7193,35.7312],[-77.7382,35.784],[-77.7513,35.8278],[-77.8284,35.8672],[-77.8186,35.8864]]]]","MultiPolygon",-77.5971756410996,35.913040080039,-77.597058884,35.912880667
,"37021",2,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}",,,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}","electricalNetwork","FRENCH BROAD ELEC MEMBER CORP,6784","6784","Buncombe","North Carolina","Feature","[[[[-82.8839,35.6782],[-82.8541,35.6995],[-82.8469,35.7014],[-82.8071,35.6859],[-82.7948,35.6958],[-82.754,35.7035],[-82.731,35.7224],[-82.7138,35.7178],[-82.7123,35.7329],[-82.6692,35.7261],[-82.6662,35.7383],[-82.6153,35.7598],[-82.5799,35.7748],[-82.5449,35.7895],[-82.5387,35.7916],[-82.5282,35.7977],[-82.5122,35.8033],[-82.4761,35.7983],[-82.4638,35.8096],[-82.4353,35.8086],[-82.4317,35.8119],[-82.4179,35.8134],[-82.4086,35.8182],[-82.382,35.824],[-82.3687,35.8201],[-82.3383,35.8017],[-82.3462,35.7862],[-82.3351,35.7494],[-82.3131,35.7336],[-82.2847,35.7255],[-82.2796,35.7178],[-82.2754,35.7044],[-82.2949,35.6839],[-82.2852,35.6775],[-82.2804,35.6677],[-82.2863,35.6505],[-82.2696,35.6213],[-82.2645,35.6175],[-82.286,35.5873],[-82.2513,35.5599],[-82.22,35.5531],[-82.169,35.5278],[-82.179,35.5266],[-82.2332,35.5194],[-82.2243,35.4983],[-82.2514,35.4607],[-82.2658,35.4678],[-82.3254,35.4967],[-82.3568,35.4906],[-82.3719,35.48],[-82.3631,35.461],[-82.4175,35.4745],[-82.4251,35.4703],[-82.4557,35.4498],[-82.4766,35.4452],[-82.4806,35.4452],[-82.4952,35.4452],[-82.5351,35.4446],[-82.5332,35.4164],[-82.5439,35.4232],[-82.5488,35.4443],[-82.5581,35.4441],[-82.5706,35.431],[-82.5991,35.4371],[-82.6214,35.4359],[-82.6595,35.4528],[-82.6727,35.4594],[-82.7057,35.4526],[-82.7305,35.4342],[-82.7451,35.423],[-82.7817,35.4395],[-82.7995,35.4712],[-82.7795,35.5169],[-82.78,35.5259],[-82.7665,35.5379],[-82.7659,35.539],[-82.7659,35.5407],[-82.7775,35.5556],[-82.7659,35.5676],[-82.7843,35.5914],[-82.7971,35.5961],[-82.8131,35.6279],[-82.8464,35.6144],[-82.8536,35.6368],[-82.8644,35.6347],[-82.8771,35.6665],[-82.888,35.6727],[-82.8839,35.6782]]]]","MultiPolygon",-82.530385679713,35.6109780509855,-82.530107059,35.611177885
,"37199",271,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}",,,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}","electricalNetwork","FRENCH BROAD ELEC MEMBER CORP,6784","6784","Yancey","North Carolina","Feature","[[[[-82.5054,35.9777],[-82.5002,35.9826],[-82.4875,35.9916],[-82.4874,35.9916],[-82.4847,35.9928],[-82.4837,35.9939],[-82.4835,35.9963],[-82.4823,35.9978],[-82.4742,36.0001],[-82.4646,36.0065],[-82.4607,36.0078],[-82.4167,36.0728],[-82.3991,36.0819],[-82.3801,36.0707],[-82.352,36.0845],[-82.3364,36.0527],[-82.3382,36.0301],[-82.3236,36.0292],[-82.321,36.0262],[-82.3008,36.0458],[-82.2681,36.0166],[-82.2733,36.0029],[-82.2495,35.9895],[-82.253,36.008],[-82.2288,36.013],[-82.1986,36.0158],[-82.1863,35.961],[-82.1977,35.9527],[-82.1697,35.9286],[-82.1483,35.9329],[-82.1548,35.9148],[-82.1431,35.9052],[-82.1469,35.902],[-82.1462,35.8634],[-82.1403,35.8426],[-82.1483,35.8227],[-82.1335,35.8233],[-82.1676,35.7896],[-82.1646,35.7707],[-82.1934,35.7353],[-82.2428,35.7124],[-82.2578,35.6989],[-82.2754,35.7044],[-82.2796,35.7178],[-82.2847,35.7255],[-82.3131,35.7336],[-82.3351,35.7494],[-82.3462,35.7862],[-82.3383,35.8017],[-82.3687,35.8201],[-82.382,35.824],[-82.4086,35.8182],[-82.4196,35.8433],[-82.4176,35.8594],[-82.4487,35.8969],[-82.4748,35.9092],[-82.4933,35.9083],[-82.4985,35.9302],[-82.4803,35.9499],[-82.4962,35.9566],[-82.5055,35.9777],[-82.5054,35.9777]]]]","MultiPolygon",-82.3076941461701,35.8991764909611,-82.307627978,35.898947992
,"47149",1,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}",,,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}","electricalNetwork","MIDDLE TENNESSEE E M C,12470","12470","Rutherford","Tennessee","Feature","[[[[-86.6969,35.7523],[-86.6818,35.7501],[-86.6629,35.7909],[-86.6237,35.7912],[-86.6133,35.7903],[-86.6135,35.81],[-86.625,35.8082],[-86.6127,35.8192],[-86.626,35.8265],[-86.6034,35.8387],[-86.6056,35.8552],[-86.6214,35.8826],[-86.6151,35.8894],[-86.628,35.9102],[-86.6164,35.9403],[-86.625,35.9667],[-86.6189,35.9681],[-86.6189,35.9682],[-86.608,35.9798],[-86.6127,36.0075],[-86.6007,36.0119],[-86.5873,36.0256],[-86.5785,36.0268],[-86.5672,36.0345],[-86.5624,36.0353],[-86.5655,36.0508],[-86.5618,36.0583],[-86.5465,36.0665],[-86.5469,36.0878],[-86.5275,36.074],[-86.5293,36.0572],[-86.5247,36.0586],[-86.5211,36.0724],[-86.5176,36.0841],[-86.5156,36.1006],[-86.5023,36.0918],[-86.435,36.0499],[-86.431,36.0501],[-86.3951,36.031],[-86.3825,36.0353],[-86.3884,36.0272],[-86.3642,36.0102],[-86.3263,35.985],[-86.2558,35.9683],[-86.2517,35.9611],[-86.177,35.9575],[-86.165,35.9635],[-86.1532,35.9544],[-86.1553,35.9326],[-86.1418,35.9144],[-86.1529,35.9091],[-86.1586,35.8808],[-86.1686,35.8844],[-86.1786,35.8327],[-86.1798,35.8242],[-86.1774,35.82],[-86.1886,35.7959],[-86.1871,35.7637],[-86.2079,35.7323],[-86.2071,35.7038],[-86.2454,35.6889],[-86.2452,35.6319],[-86.2458,35.6319],[-86.2876,35.6483],[-86.3052,35.6464],[-86.3104,35.6616],[-86.3419,35.6643],[-86.3522,35.6502],[-86.3786,35.6428],[-86.373,35.6311],[-86.4017,35.6186],[-86.4137,35.6232],[-86.4134,35.64],[-86.4241,35.653],[-86.4622,35.6379],[-86.4777,35.6554],[-86.4935,35.6581],[-86.5194,35.6778],[-86.5155,35.6884],[-86.5234,35.6899],[-86.5431,35.6976],[-86.6364,35.702],[-86.6394,35.6859],[-86.6826,35.7041],[-86.6862,35.7101],[-86.6993,35.7178],[-86.6969,35.7523]]]]","MultiPolygon",-86.4173008190105,35.8422400415261,-86.416737886,35.842706525
,"47187",66,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}",,,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}","electricalNetwork","MIDDLE TENNESSEE E M C,12470","12470","Williamson","Tennessee","Feature","[[[[-87.2051,35.9146],[-87.2021,35.9361],[-87.2057,35.941],[-87.2042,35.9592],[-87.212,35.9699],[-87.1974,35.98],[-87.1871,36.0288],[-87.1826,36.0497],[-87.0849,36.0438],[-87.0537,36.0456],[-87.0394,35.9892],[-87.0161,35.9979],[-86.9685,36.0279],[-86.963,36.0314],[-86.9364,36.0482],[-86.9191,36.0517],[-86.8967,36.0489],[-86.8648,36.0449],[-86.8328,36.041],[-86.8165,36.0392],[-86.7909,36.0367],[-86.7831,36.0349],[-86.7771,36.0332],[-86.7503,36.0193],[-86.7387,36.0133],[-86.7129,36.0081],[-86.6923,35.9948],[-86.6877,35.9953],[-86.6819,35.9894],[-86.6483,35.9756],[-86.6274,35.974],[-86.622,35.9716],[-86.6189,35.9682],[-86.6189,35.9681],[-86.625,35.9667],[-86.6164,35.9403],[-86.628,35.9102],[-86.6151,35.8894],[-86.6214,35.8826],[-86.6056,35.8552],[-86.6034,35.8387],[-86.626,35.8265],[-86.6127,35.8192],[-86.625,35.8082],[-86.6135,35.81],[-86.6133,35.7903],[-86.6237,35.7912],[-86.6629,35.7909],[-86.6818,35.7501],[-86.6969,35.7523],[-86.6993,35.7178],[-86.6862,35.7101],[-86.7466,35.7079],[-86.7517,35.6964],[-86.782,35.7066],[-86.7979,35.708],[-86.8119,35.7205],[-86.8455,35.7252],[-86.873,35.7392],[-86.8794,35.7408],[-86.9131,35.7525],[-86.9216,35.7552],[-86.9252,35.7562],[-86.9383,35.762],[-86.929,35.7781],[-86.9293,35.7782],[-86.9625,35.7829],[-86.9695,35.7717],[-87.0541,35.7993],[-87.2151,35.8507],[-87.2051,35.9146]]]]","MultiPolygon",-86.8989340383963,35.8940837311548,-86.898653557,35.893838152
,"37113",3,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}",,,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}","electricalNetwork","HAYWOOD ELECTRIC MEMBER CORP,8333","8333","Macon","North Carolina","Feature","[[[[-83.7315,35.1786],[-83.7113,35.1957],[-83.7284,35.1999],[-83.6968,35.2254],[-83.6917,35.2428],[-83.7028,35.2485],[-83.6947,35.2576],[-83.6846,35.2733],[-83.6801,35.2795],[-83.6728,35.2828],[-83.4979,35.2993],[-83.4928,35.3035],[-83.4714,35.2974],[-83.4325,35.3252],[-83.4107,35.3166],[-83.3996,35.3278],[-83.3642,35.326],[-83.3396,35.331],[-83.3214,35.3123],[-83.311,35.2597],[-83.2985,35.2558],[-83.2802,35.2286],[-83.2452,35.2315],[-83.2429,35.2391],[-83.2247,35.2387],[-83.2166,35.2227],[-83.2236,35.1715],[-83.2238,35.1574],[-83.2099,35.1543],[-83.1871,35.134],[-83.1776,35.1089],[-83.1471,35.0917],[-83.1433,35.0779],[-83.1722,35.069],[-83.1481,35.0536],[-83.1084,35.0007],[-83.1086,35.0007],[-83.1904,34.9995],[-83.2969,34.9966],[-83.3228,34.9959],[-83.3371,34.9957],[-83.3818,34.995],[-83.3818,34.995],[-83.483,34.9935],[-83.483,34.9935],[-83.5106,35.0052],[-83.5208,34.9966],[-83.5212,35.0182],[-83.543,35.0384],[-83.5574,35.0386],[-83.5622,35.0594],[-83.5818,35.0781],[-83.5866,35.0916],[-83.6179,35.106],[-83.6191,35.1284],[-83.6357,35.1216],[-83.6418,35.1392],[-83.6598,35.1603],[-83.6662,35.15],[-83.6844,35.1578],[-83.6992,35.1526],[-83.7144,35.1553],[-83.7268,35.1453],[-83.7381,35.1559],[-83.7315,35.1786]]]]","MultiPolygon",-83.4217780844556,35.1506263752146,-83.422176706,35.150467207
