"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-Q2","CT","Connecticut","IND","industrial","3755","17.12","109.00309","636.65167","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","CT","Connecticut","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","CT","Connecticut","RES","residential","1610582","27.6","793.79591","2875.65971","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","CT","Connecticut","TRA","transportation","3","15.86","4.96439","31.30144","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DC","District of Columbia","ALL","all sectors","354480","23.26","559.0022","2402.92843","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DC","District of Columbia","COM","commercial","27682","23.35","408.36692","1748.57575","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DC","District of Columbia","IND","industrial","1","17.32","8.87399","51.23481","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DC","District of Columbia","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DC","District of Columbia","RES","residential","326794","25.02","127.84036","510.90322","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DC","District of Columbia","TRA","transportation","3","15.1","13.92094","92.21466","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DE","Delaware","ALL","all sectors","544536","15.53","406.1683","2616.21422","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DE","Delaware","COM","commercial","61508","13.74","141.4306","1029.28883","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DE","Delaware","IND","industrial","1140","10.97","52.70883","480.42039","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DE","Delaware","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DE","Delaware","RES","residential","481888","19.16","212.02889","1106.50499","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","DE","Delaware","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ENC","East North Central","ALL","all sectors","23672608","14.39","19742.91024","137190.888","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ENC","East North Central","COM","commercial","2592315","14.41","6956.91988","48284.09916","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ENC","East North Central","IND","industrial","53700","9.57","4608.07708","48146.84366","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ENC","East North Central","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ENC","East North Central","RES","residential","21026584","20.09","8164.58758","40639.66917","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ENC","East North Central","TRA","transportation","10","11.08","13.3257","120.27603","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ESC","East South Central","ALL","all sectors","10544787","12.13","9274.8549","76483.48112","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ESC","East South Central","COM","commercial","1530954","13.81","3200.84816","23178.35449","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
